UnityJudgment,Condition,Phase,SpatialD,SpatialD_abs,SubjI
1,congruent,pre,0,0,PW
1,congruent,pre,0,0,PW
1,congruent,pre,0,0,PW
1,congruent,pre,0,0,PW
0,congruent,pre,0,0,PW
0,congruent,pre,0,0,PW
0,congruent,pre,0,0,PW
0,congruent,pre,0,0,PW
0,congruent,pre,0,0,PW
0,congruent,pre,0,0,PW
1,congruent,pre,8,8,PW
1,congruent,pre,8,8,PW
1,congruent,pre,8,8,PW
1,congruent,pre,8,8,PW
1,congruent,pre,8,8,PW
1,congruent,pre,8,8,PW
1,congruent,pre,8,8,PW
1,congruent,pre,8,8,PW
1,congruent,pre,8,8,PW
1,congruent,pre,8,8,PW
1,congruent,pre,8,8,PW
1,congruent,pre,8,8,PW
1,congruent,pre,8,8,PW
1,congruent,pre,8,8,PW
1,congruent,pre,8,8,PW
1,congruent,pre,8,8,PW
1,congruent,pre,8,8,PW
1,congruent,pre,8,8,PW
1,congruent,pre,8,8,PW
1,congruent,pre,8,8,PW
1,congruent,pre,8,8,PW
1,congruent,pre,8,8,PW
1,congruent,pre,8,8,PW
1,congruent,pre,8,8,PW
1,congruent,pre,8,8,PW
1,congruent,pre,8,8,PW
1,congruent,pre,8,8,PW
1,congruent,pre,8,8,PW
1,congruent,pre,8,8,PW
1,congruent,pre,8,8,PW
1,congruent,pre,8,8,PW
1,congruent,pre,8,8,PW
1,congruent,pre,8,8,PW
1,congruent,pre,8,8,PW
1,congruent,pre,8,8,PW
1,congruent,pre,8,8,PW
1,congruent,pre,8,8,PW
1,congruent,pre,8,8,PW
1,congruent,pre,8,8,PW
1,congruent,pre,8,8,PW
1,congruent,pre,8,8,PW
1,congruent,pre,8,8,PW
1,congruent,pre,8,8,PW
1,congruent,pre,8,8,PW
1,congruent,pre,8,8,PW
1,congruent,pre,8,8,PW
1,congruent,pre,8,8,PW
1,congruent,pre,8,8,PW
1,congruent,pre,8,8,PW
1,congruent,pre,8,8,PW
1,congruent,pre,8,8,PW
1,congruent,pre,8,8,PW
1,congruent,pre,8,8,PW
1,congruent,pre,8,8,PW
1,congruent,pre,8,8,PW
1,congruent,pre,8,8,PW
1,congruent,pre,8,8,PW
1,congruent,pre,8,8,PW
1,congruent,pre,8,8,PW
0,congruent,pre,8,8,PW
1,congruent,pre,16,16,PW
1,congruent,pre,16,16,PW
1,congruent,pre,16,16,PW
1,congruent,pre,16,16,PW
1,congruent,pre,16,16,PW
1,congruent,pre,16,16,PW
1,congruent,pre,16,16,PW
1,congruent,pre,16,16,PW
1,congruent,pre,16,16,PW
1,congruent,pre,16,16,PW
1,congruent,pre,16,16,PW
1,congruent,pre,16,16,PW
1,congruent,pre,16,16,PW
1,congruent,pre,16,16,PW
1,congruent,pre,16,16,PW
1,congruent,pre,16,16,PW
1,congruent,pre,16,16,PW
1,congruent,pre,16,16,PW
1,congruent,pre,16,16,PW
1,congruent,pre,16,16,PW
1,congruent,pre,16,16,PW
1,congruent,pre,16,16,PW
1,congruent,pre,16,16,PW
1,congruent,pre,16,16,PW
1,congruent,pre,16,16,PW
1,congruent,pre,16,16,PW
1,congruent,pre,16,16,PW
1,congruent,pre,16,16,PW
1,congruent,pre,16,16,PW
1,congruent,pre,16,16,PW
1,congruent,pre,16,16,PW
1,congruent,pre,16,16,PW
1,congruent,pre,16,16,PW
0,congruent,pre,16,16,PW
0,congruent,pre,16,16,PW
0,congruent,pre,16,16,PW
0,congruent,pre,16,16,PW
0,congruent,pre,16,16,PW
0,congruent,pre,16,16,PW
0,congruent,pre,16,16,PW
1,congruent,pre,24,24,PW
1,congruent,pre,24,24,PW
1,congruent,pre,24,24,PW
1,congruent,pre,24,24,PW
1,congruent,pre,24,24,PW
1,congruent,pre,24,24,PW
1,congruent,pre,24,24,PW
1,congruent,pre,24,24,PW
1,congruent,pre,24,24,PW
1,congruent,pre,24,24,PW
1,congruent,pre,24,24,PW
1,congruent,pre,24,24,PW
1,congruent,pre,24,24,PW
1,congruent,pre,24,24,PW
0,congruent,pre,24,24,PW
0,congruent,pre,24,24,PW
0,congruent,pre,24,24,PW
0,congruent,pre,24,24,PW
0,congruent,pre,24,24,PW
0,congruent,pre,24,24,PW
1,congruent,post,-24,24,PW
1,congruent,post,-24,24,PW
1,congruent,post,-24,24,PW
1,congruent,post,-24,24,PW
0,congruent,post,-24,24,PW
0,congruent,post,-24,24,PW
0,congruent,post,-24,24,PW
0,congruent,post,-24,24,PW
0,congruent,post,-24,24,PW
0,congruent,post,-24,24,PW
0,congruent,post,-24,24,PW
0,congruent,post,-24,24,PW
0,congruent,post,-24,24,PW
0,congruent,post,-24,24,PW
0,congruent,post,-24,24,PW
0,congruent,post,-24,24,PW
0,congruent,post,-24,24,PW
0,congruent,post,-24,24,PW
0,congruent,post,-24,24,PW
0,congruent,post,-24,24,PW
1,congruent,post,-16,16,PW
1,congruent,post,-16,16,PW
1,congruent,post,-16,16,PW
1,congruent,post,-16,16,PW
1,congruent,post,-16,16,PW
1,congruent,post,-16,16,PW
1,congruent,post,-16,16,PW
1,congruent,post,-16,16,PW
1,congruent,post,-16,16,PW
1,congruent,post,-16,16,PW
1,congruent,post,-16,16,PW
1,congruent,post,-16,16,PW
1,congruent,post,-16,16,PW
1,congruent,post,-16,16,PW
1,congruent,post,-16,16,PW
1,congruent,post,-16,16,PW
1,congruent,post,-16,16,PW
1,congruent,post,-16,16,PW
1,congruent,post,-16,16,PW
1,congruent,post,-16,16,PW
1,congruent,post,-16,16,PW
1,congruent,post,-16,16,PW
0,congruent,post,-16,16,PW
0,congruent,post,-16,16,PW
0,congruent,post,-16,16,PW
0,congruent,post,-16,16,PW
0,congruent,post,-16,16,PW
0,congruent,post,-16,16,PW
0,congruent,post,-16,16,PW
0,congruent,post,-16,16,PW
0,congruent,post,-16,16,PW
0,congruent,post,-16,16,PW
0,congruent,post,-16,16,PW
0,congruent,post,-16,16,PW
0,congruent,post,-16,16,PW
0,congruent,post,-16,16,PW
0,congruent,post,-16,16,PW
0,congruent,post,-16,16,PW
0,congruent,post,-16,16,PW
0,congruent,post,-16,16,PW
1,congruent,post,-8,8,PW
1,congruent,post,-8,8,PW
1,congruent,post,-8,8,PW
1,congruent,post,-8,8,PW
1,congruent,post,-8,8,PW
1,congruent,post,-8,8,PW
1,congruent,post,-8,8,PW
1,congruent,post,-8,8,PW
1,congruent,post,-8,8,PW
1,congruent,post,-8,8,PW
1,congruent,post,-8,8,PW
1,congruent,post,-8,8,PW
1,congruent,post,-8,8,PW
1,congruent,post,-8,8,PW
1,congruent,post,-8,8,PW
1,congruent,post,-8,8,PW
1,congruent,post,-8,8,PW
1,congruent,post,-8,8,PW
1,congruent,post,-8,8,PW
1,congruent,post,-8,8,PW
1,congruent,post,-8,8,PW
1,congruent,post,-8,8,PW
1,congruent,post,-8,8,PW
1,congruent,post,-8,8,PW
1,congruent,post,-8,8,PW
1,congruent,post,-8,8,PW
1,congruent,post,-8,8,PW
1,congruent,post,-8,8,PW
1,congruent,post,-8,8,PW
1,congruent,post,-8,8,PW
1,congruent,post,-8,8,PW
1,congruent,post,-8,8,PW
1,congruent,post,-8,8,PW
1,congruent,post,-8,8,PW
1,congruent,post,-8,8,PW
1,congruent,post,-8,8,PW
1,congruent,post,-8,8,PW
1,congruent,post,-8,8,PW
1,congruent,post,-8,8,PW
1,congruent,post,-8,8,PW
1,congruent,post,-8,8,PW
1,congruent,post,-8,8,PW
1,congruent,post,-8,8,PW
1,congruent,post,-8,8,PW
1,congruent,post,-8,8,PW
1,congruent,post,-8,8,PW
1,congruent,post,-8,8,PW
1,congruent,post,-8,8,PW
1,congruent,post,-8,8,PW
1,congruent,post,-8,8,PW
0,congruent,post,-8,8,PW
0,congruent,post,-8,8,PW
0,congruent,post,-8,8,PW
0,congruent,post,-8,8,PW
0,congruent,post,-8,8,PW
0,congruent,post,-8,8,PW
0,congruent,post,-8,8,PW
0,congruent,post,-8,8,PW
0,congruent,post,-8,8,PW
0,congruent,post,-8,8,PW
1,congruent,post,0,0,PW
1,congruent,post,0,0,PW
1,congruent,post,0,0,PW
1,congruent,post,0,0,PW
1,congruent,post,0,0,PW
1,congruent,post,0,0,PW
1,congruent,post,0,0,PW
1,congruent,post,0,0,PW
1,congruent,post,0,0,PW
1,congruent,post,0,0,PW
1,congruent,post,0,0,PW
1,congruent,post,0,0,PW
1,congruent,post,0,0,PW
1,congruent,post,0,0,PW
1,congruent,post,0,0,PW
1,congruent,post,0,0,PW
1,congruent,post,0,0,PW
1,congruent,post,0,0,PW
1,congruent,post,0,0,PW
1,congruent,post,0,0,PW
1,congruent,post,0,0,PW
1,congruent,post,0,0,PW
1,congruent,post,0,0,PW
1,congruent,post,0,0,PW
1,congruent,post,0,0,PW
1,congruent,post,0,0,PW
1,congruent,post,0,0,PW
1,congruent,post,0,0,PW
1,congruent,post,0,0,PW
1,congruent,post,0,0,PW
1,congruent,post,0,0,PW
1,congruent,post,0,0,PW
1,congruent,post,0,0,PW
1,congruent,post,0,0,PW
1,congruent,post,0,0,PW
1,congruent,post,0,0,PW
1,congruent,post,0,0,PW
1,congruent,post,0,0,PW
1,congruent,post,0,0,PW
1,congruent,post,0,0,PW
1,congruent,post,0,0,PW
1,congruent,post,0,0,PW
1,congruent,post,0,0,PW
1,congruent,post,0,0,PW
1,congruent,post,0,0,PW
1,congruent,post,0,0,PW
1,congruent,post,0,0,PW
1,congruent,post,0,0,PW
1,congruent,post,0,0,PW
1,congruent,post,0,0,PW
1,congruent,post,0,0,PW
1,congruent,post,0,0,PW
1,congruent,post,0,0,PW
1,congruent,post,0,0,PW
1,congruent,post,0,0,PW
1,congruent,post,0,0,PW
1,congruent,post,0,0,PW
1,congruent,post,0,0,PW
1,congruent,post,0,0,PW
1,congruent,post,0,0,PW
1,congruent,post,0,0,PW
1,congruent,post,0,0,PW
1,congruent,post,0,0,PW
1,congruent,post,0,0,PW
1,congruent,post,0,0,PW
1,congruent,post,0,0,PW
1,congruent,post,0,0,PW
1,congruent,post,0,0,PW
1,congruent,post,0,0,PW
1,congruent,post,0,0,PW
1,congruent,post,0,0,PW
1,congruent,post,0,0,PW
1,congruent,post,0,0,PW
1,congruent,post,0,0,PW
1,congruent,post,0,0,PW
1,congruent,post,0,0,PW
1,congruent,post,0,0,PW
1,congruent,post,0,0,PW
1,congruent,post,0,0,PW
1,congruent,post,0,0,PW
